,Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments,Group,Channel_name,Subscribers,Comments_rate,Likes_rate,Views_rate
2358,JENNIE - 'SOLO' FAN SIGNING DAY,2018-12-15T01:00:00Z,2599958.0,190987.0,5270.0,famed,BLACKPINK,74100000,0.007112010796221323,0.2577422402159244,3.508715249662618
2359,JENNIE - ‘SOLO’ 1209 SBS Inkigayo,2018-12-09T08:37:05Z,12847994.0,404243.0,13422.0,famed,BLACKPINK,74100000,0.01811336032388664,0.5455371120107962,17.338723346828612
2360,JENNIE - 'SOLO' DIARY EP.3,2018-12-08T01:00:01Z,4044648.0,201756.0,5227.0,famed,BLACKPINK,74100000,0.007053981106612686,0.2722753036437247,5.458364372469636
2361,JENNIE - ‘SOLO’ 1202 SBS Inkigayo : NO.1 OF THE WEEK,2018-12-02T09:01:03Z,5802570.0,248109.0,9574.0,famed,BLACKPINK,74100000,0.012920377867746288,0.33482995951417005,7.830728744939271
2362,JENNIE - 'SOLO' DIARY EP.2-2,2018-12-02T01:00:01Z,3034760.0,154788.0,4288.0,famed,BLACKPINK,74100000,0.005786774628879892,0.20889068825910934,4.095492577597841
2363,JENNIE - 'SOLO' DIARY EP.2-1,2018-12-01T01:00:02Z,5672731.0,272467.0,7009.0,famed,BLACKPINK,74100000,0.009458839406207826,0.3677017543859649,7.6555074224021595
2364,JAPAN FULL ALBUM “BLACKPINK IN YOUR AREA” TRAILER,2018-11-28T03:00:05Z,1813465.0,98519.0,4002.0,famed,BLACKPINK,74100000,0.00540080971659919,0.13295411605937923,2.4473211875843455
2365,BLACKPINK - 2019 WORLD TOUR [IN YOUR AREA] SPOT,2018-11-27T07:00:02Z,1313944.0,115009.0,15400.0,famed,BLACKPINK,74100000,0.02078272604588394,0.15520782726045884,1.7732037786774628
2366,JENNIE - ‘SOLO’ 1125 SBS Inkigayo : NO.1 OF THE WEEK,2018-11-25T11:46:19Z,16486296.0,647310.0,25624.0,famed,BLACKPINK,74100000,0.03458029689608637,0.8735627530364374,22.248712550607287
2367,JENNIE - ‘SOLO’ PERFORMANCE VIDEO,2018-11-24T04:00:01Z,14644243.0,703451.0,17902.0,famed,BLACKPINK,74100000,0.024159244264507423,0.9493265856950067,19.762811066126858
2368,JENNIE - 'SOLO' PERFORMANCE [IN YOUR AREA] SEOUL,2018-11-22T00:30:00Z,27776002.0,983419.0,25847.0,famed,BLACKPINK,74100000,0.034881241565452095,1.3271511470985156,37.48448313090418
2369,JENNIE - 'SOLO' DIARY EP.1,2018-11-18T01:00:05Z,4627269.0,298316.0,7348.0,famed,BLACKPINK,74100000,0.009916329284750338,0.4025856950067476,6.244627530364372
2370,JENNIE - 'SOLO' CHOREOGRAPHY ALTERNATE EDITED VERSION,2018-11-17T08:22:19Z,3624123.0,249589.0,4685.0,famed,BLACKPINK,74100000,0.006322537112010796,0.3368272604588394,4.890854251012146
2371,JENNIE - 'SOLO' CHOREOGRAPHY UNEDITED VERSION,2018-11-16T01:00:05Z,244182028.0,4019587.0,183974.0,famed,BLACKPINK,74100000,0.24827800269905534,5.424543859649123,329.53040215924426
2372,JENNIE - 'SOLO' CHOREOGRAPHY CUT TEASER,2018-11-14T00:00:02Z,2469753.0,266228.0,5723.0,famed,BLACKPINK,74100000,0.007723346828609986,0.35928205128205126,3.3329999999999997
